ds,yhat
2022-01-06,73.00028360414757
2022-02-02,157.99996003043128
2022-03-03,30.999810691033304
2022-04-03,480.000188988782
2022-05-01,10.999938912507332
2022-05-06,274.00002916720706
2022-07-05,202.00007925383136
2022-10-01,271.00023677904596
2022-11-04,35.999845323109184
2022-12-02,113.99989474618405
2022-12-06,243.99968170715056
2022-12-07,4270.650865065687
2022-12-08,-4409.697481961408
2022-12-09,2521.6272294530118
2022-12-10,-3230.817847530298
2022-12-11,2907.4325038543207
2022-12-12,-406.68838481220837
2022-12-13,6026.394017111847
2022-12-14,10665.70483563993
2022-12-15,2470.973844011132
2022-12-16,9749.111150497909
2022-12-17,4196.571503718292
2022-12-18,10383.529523556066
2022-12-19,6966.48483994056
2022-12-20,13148.374491357637
2022-12-21,17395.219699543184
2022-12-22,8677.121994875622
2022-12-23,15314.394862257033
2022-12-24,9019.509313642175
2022-12-25,14380.788989684297
2022-12-26,10074.488515221172
2022-12-27,15324.34819930691
2022-12-28,18617.668458128806
2022-12-29,8945.735245512555
2022-12-30,14649.398545164448
2022-12-31,7460.49734744211
2023-01-01,11985.080444972236
2023-01-02,6915.068855640611
2023-01-03,11487.46308728239
2023-01-04,14200.146540614096
2023-01-05,4052.1218714778606
