ds,yhat
2022-01-04,412.0000213078801
2022-02-01,132.99999568743286
2022-02-05,189.99999413284087
2022-03-03,53.00000031058755
2022-05-01,107.0000471460115
2022-05-02,16.000014319411434
2022-05-05,54.00002281301536
2022-06-02,68.00003249070897
2022-07-02,115.00002198643517
2022-07-03,376.000021660744
2022-09-03,26.99996660717187
2022-09-05,298.99995040390206
2022-09-06,313.9999661232626
2022-11-02,37.00003253993907
2022-11-05,18.000041357707005
2022-12-02,433.99991712936543
2022-12-03,40.44742664491912
2022-12-04,1062.4342293811167
2022-12-05,1922.7664180119273
2022-12-06,2705.3476009037795
2022-12-07,1634.502212998514
2022-12-08,4720.935763265034
2022-12-09,5433.916777456444
2022-12-10,4944.544688669082
2022-12-11,5807.144479810402
2022-12-12,6446.831003566204
2022-12-13,6950.777067670298
2022-12-14,5547.474565055776
2022-12-15,8252.61693946767
2022-12-16,8541.189502237621
2022-12-17,7590.633846421571
2022-12-18,7962.129345119228
2022-12-19,8088.036978613948
2022-12-20,8063.041982399601
2022-12-21,6123.287031570001
2022-12-22,8292.126669659407
2022-12-23,8052.091846816185
2022-12-24,6587.933050513437
2022-12-25,6467.787098086018
2022-12-26,6130.514729125679
2022-12-27,5676.7471626830775
2022-12-28,3347.9347639002717
2022-12-29,5172.029694751583
2022-12-30,4635.392306980624
2022-12-31,2925.7903741514883
2023-01-01,2613.5365675055655
